index,class,guid,solidMass,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,maxFaceCentreOfMassX,maxFaceCentreOfMassY,maxFaceCentreOfMassZ,maxFaceAxisLocationX,maxFaceAxisLocationY,maxFaceAxisLocationZ,maxFaceAxisDirectX,maxFaceAxisDirectY,maxFaceAxisDirectZ,maxFacePerimeter,maxFaceMaxEdgeCentreX,maxFaceMaxEdgeCentreY,maxFaceMaxEdgeCentreZ,maxFaceMinEdgeCentreX,maxFaceMinEdgeCentreY,maxFaceMinEdgeCentreZ,maxFaceEdgeLengthAverage,maxFaceEdgeLengthVariance,minFaceMass,minFaceCentreOfMassX,minFaceCentreOfMassY,minFaceCentreOfMassZ,minFaceAxisLocationX,minFaceAxisLocationY,minFaceAxisLocationZ,minFaceAxisDirectX,minFaceAxisDirectY,minFaceAxisDirectZ,minFacePerimeter,minFaceMaxEdgeCentreX,minFaceMaxEdgeCentreY,minFaceMaxEdgeCentreZ,minFaceMinEdgeCentreX,minFaceMinEdgeCentreY,minFaceMinEdgeCentreZ,minFaceEdgeLengthAverage,minFaceEdgeLengthVariance,faceMassAverage,faceMassVariance,edgeCount,edgeLenSum,assembly_no
4475,LJP,5b9afa21-0000-18be-3135-333638393333,182600,472917.3334,-5931.650588,3226.900698,30199.70129,11412.5,472917.3334,-5923.653087,3227.100636,472917.3334,-5923.653087,3227.100636,-1.41E-18,0.999687647,0.024992183,460.9188309,472891.5,-5924.298719,3252.9259,472959,-5925.735769,3310.40794,76.81980515,3182.050869,320,472834,-5930.609248,3185.247046,472834,-5930.609248,3185.247046,-1,0,0,72,472834,-5930.359326,3175.25017,472834,-5930.359326,3175.25017,18,4.000000001,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4476,LJP,5b9afa21-0000-18c4-3135-333638393333,182600,472917.3334,-5671.731801,3233.398668,30199.70129,11412.5,472917.3334,-5663.734299,3233.598606,472917.3334,-5663.734299,3233.598606,-1.41E-18,0.999687647,0.024992183,460.9188309,472891.5,-5664.379931,3259.42387,472959,-5665.816981,3316.90591,76.81980515,3182.050869,320,472834,-5670.69046,3191.745016,472834,-5670.69046,3191.745016,-1,0,0,72,472834,-5670.940381,3201.741893,472834,-5670.940381,3201.741893,18,4.000000001,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4477,LJP,5b9afa21-0000-18ca-3135-333638393333,1954796.76,473000,-20483.69665,1988.948945,179159.712,65159.89198,473015,-20483.69665,1988.948945,473015,-20483.69665,1988.948945,1,1.69E-17,-1.82E-18,1627.9976,473015,-20528.44037,1993.744737,473015,-20445.11723,2348.88671,406.9993999,100488.6196,2700,473000,-20445.11723,2348.88671,473000,-20445.11723,2348.88671,0,0.106573143,0.994304865,240,473000,-20400.37351,2344.090918,473000,-20400.37351,2344.090918,60,899.9999998,29859.95199,683336053.3,12,3375.995199,C3-JD-26
4478,LJP,5b9afa21-0000-18cd-3135-333638393333,182600,472917.3334,-20488.12973,2250.916075,30199.70129,11412.5,472917.3334,-20487.27698,2258.870497,472917.3334,-20487.27698,2258.870497,-8.42E-18,0.106592899,0.994302748,460.9188309,472891.5,-20461.59083,2256.116847,472834,-20528.70627,2263.311867,76.81980515,3182.05087,319.9999999,472834,-20529.55901,2255.357445,472834,-20529.55901,2255.357445,-1,0,0,71.99999999,472834,-20539.50204,2256.423374,472834,-20539.50204,2256.423374,18,3.999999998,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4479,LJP,5b9afa21-0000-18d0-3135-333638393333,182600,472917.3334,-20543.55803,1733.878646,30199.70129,11412.5,472917.3334,-20542.70529,1741.833068,472917.3334,-20542.70529,1741.833068,-8.42E-18,0.106592899,0.994302748,460.9188309,472891.5,-20517.01914,1739.079418,472834,-20584.13457,1746.274439,76.81980515,3182.05087,319.9999999,472834,-20584.98732,1738.320017,472834,-20584.98732,1738.320017,-1,0,0,71.99999999,472834,-20575.04429,1737.254088,472834,-20575.04429,1737.254088,18,3.999999997,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4480,LJP,5b9afa21-0000-18d9-3135-333638393333,182600,472917.3334,-20515.84388,1992.39736,30199.70129,11412.5,472917.3334,-20514.99114,2000.351782,472917.3334,-20514.99114,2000.351782,-8.42E-18,0.106592899,0.994302748,460.9188309,472891.5,-20489.30498,1997.598132,472834,-20556.42042,2004.793153,76.81980515,3182.05087,320,472834,-20557.27316,1996.838731,472834,-20557.27316,1996.838731,-1,0,0,72,472834,-20567.21619,1997.90466,472834,-20567.21619,1997.90466,18,3.999999996,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4481,LJP,5b9afa21-0000-18df-3135-333638393333,1252796.76,473000,-13802.49762,3062.471278,116759.712,41759.89199,473015,-13802.49762,3062.471278,473015,-13802.49762,3062.471278,1,5.20E-19,-2.08E-17,1107.9976,473015,-13803.62367,3107.457187,473015,-14034.42438,3056.665914,276.9994,34968.77559,2700,473000,-13570.57087,3068.276641,473000,-13570.57087,3068.276641,0,0.999686871,0.025023183,240,473000,-13569.44483,3023.290732,473000,-13569.44483,3023.290732,60,900,19459.952,269624927.3,12,2335.9952,C3-JD-26
4482,LJP,5b9afa21-0000-18e2-3135-333638393333,182600,472917.3334,-13931.65058,3026.900692,30199.7013,11412.5,472917.3334,-13939.64808,3026.700754,472917.3334,-13939.64808,3026.700754,-8.42E-18,-0.999687647,-0.024992183,460.9188309,472891.5,-13940.29371,3052.526019,472834,-13938.60674,2985.047102,76.81980515,3182.05087,320.0000001,472834,-13930.60924,2985.24704,472834,-13930.60924,2985.24704,-1,0,0,72.00000001,472834,-13930.35932,2975.250163,472834,-13930.35932,2975.250163,18,3.999999991,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4483,LJP,5b9afa21-0000-18e8-3135-333638393333,182600,472917.3334,-13671.73179,3033.398662,30199.7013,11412.5,472917.3334,-13679.72929,3033.198724,472917.3334,-13679.72929,3033.198724,-8.42E-18,-0.999687647,-0.024992183,460.9188309,472891.5,-13680.37492,3059.023988,472959,-13681.81197,3116.506028,76.81980515,3182.050869,320.0000001,472959,-13673.81447,3116.705966,472959,-13673.81447,3116.705966,0,-0.024992183,0.999687647,72.00000001,472949,-13673.81447,3116.705966,472949,-13673.81447,3116.705966,18,3.999999992,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4484,LJP,5b9afa21-0000-18ee-3135-333638393333,1252796.76,473000,-5799.998448,99.99832873,116759.712,41759.89199,473015,-5799.998448,99.99832873,473015,-5799.998448,99.99832873,1,6.44E-22,-2.08E-17,1107.9976,473015,-5799.999843,144.9983287,473015,-6031.997848,99.99113605,276.9994,34968.77559,2700,473000,-6031.997848,99.99113605,473000,-6031.997848,99.99113605,0,-1,-3.10E-05,240,473000,-6031.999243,144.991136,473000,-6031.999243,144.991136,60,900,19459.952,269624927.3,12,2335.9952,C3-JD-26
4485,LJP,5b9afa21-0000-18f1-3135-333638393333,182600,472917.3334,-5930.000048,67.66666855,30199.70129,11412.5,472917.3334,-5922.000048,67.66666855,472917.3334,-5922.000048,67.66666855,-1.41E-18,1,0,460.9188309,472891.5,-5922.000048,93.50000188,472834,-5922.000048,26.00000188,76.81980515,3182.05087,320,472834,-5930.000048,26.00000188,472834,-5930.000048,26.00000188,-1,0,0,72,472834,-5930.000048,16.00000188,472834,-5930.000048,16.00000188,18,4,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4486,LJP,5b9afa21-0000-18f7-3135-333638393333,182600,472917.3334,-5670.000048,67.66666924,30199.70129,11412.5,472917.3334,-5662.000048,67.66666924,472917.3334,-5662.000048,67.66666924,-1.41E-18,1,0,460.9188309,472891.5,-5662.000048,93.50000258,472834,-5662.000048,26.00000258,76.81980515,3182.05087,320,472834,-5670.000048,26.00000258,472834,-5670.000048,26.00000258,-1,0,0,72,472834,-5670.000048,16.00000258,472834,-5670.000048,16.00000258,18,4,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4487,LJP,5b9afa21-0000-18fd-3135-333638393333,1252796.76,473000,-14224.99845,99.99832875,116759.712,41759.89199,473015,-14224.99845,99.99832875,473015,-14224.99845,99.99832875,1,6.44E-22,-2.08E-17,1107.9976,473015,-14224.99984,144.9983287,473015,-14456.99785,99.99113607,276.9994,34968.77559,2700,473000,-14456.99785,99.99113607,473000,-14456.99785,99.99113607,0,-1,-3.10E-05,240,473000,-14456.99924,144.991136,473000,-14456.99924,144.991136,60,900,19459.952,269624927.3,12,2335.9952,C3-JD-26
4488,LJP,5b9afa21-0000-1900-3135-333638393333,182600,472917.3334,-14355.00005,67.66666856,30199.70129,11412.5,472917.3334,-14347.00005,67.66666856,472917.3334,-14347.00005,67.66666856,-1.41E-18,1,0,460.9188309,472891.5,-14347.00005,93.50000189,472834,-14347.00005,26.00000189,76.81980515,3182.05087,320,472834,-14355.00005,26.00000189,472834,-14355.00005,26.00000189,-1,0,0,72,472834,-14355.00005,16.00000189,472834,-14355.00005,16.00000189,18,4,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4489,LJP,5b9afa21-0000-1906-3135-333638393333,182600,472917.3334,-14095.00005,67.66666926,30199.70129,11412.5,472917.3334,-14087.00005,67.66666926,472917.3334,-14087.00005,67.66666926,-1.41E-18,1,0,460.9188309,472891.5,-14087.00005,93.50000259,472834,-14087.00005,26.00000259,76.81980515,3182.05087,320,472834,-14095.00005,26.00000259,472834,-14095.00005,26.00000259,-1,0,0,72,472834,-14095.00005,16.00000259,472834,-14095.00005,16.00000259,18,4,3774.962662,20054945.96,18,1017.837662,C3-JD-26
4490,LJP,5b9afa21-0000-190c-3135-333638393333,1980000,472505,-20101.49959,2864.984408,172200,66000,472520,-20101.49959,2864.984408,472520,-20101.49959,2864.984408,1,-3.68E-19,1.47E-17,1340,472520,-20100.00006,2805.003149,472520,-19826.58548,2871.857258,335,46225,3600,472505,-19826.58548,2871.857258,472505,-19826.58548,2871.857258,0,0.999687647,0.024992183,300,472505,-19828.08501,2931.838517,472505,-19828.08501,2931.838517,75,2025,28700,723380000,12,2800,C3-JD-26
4491,LJP,5b9afa21-0000-1912-3135-333638393333,921673.5423,472719.9994,-19876.61683,2872.486161,112364.2088,46083.67712,472719.9994,-19886.6137,2872.236239,472720,-19885.81669,2840.355835,-3.21E-15,-0.999687647,-0.024992183,1009.842731,472720,-19888.06629,2930.339502,472546.5321,-19885.63355,2833.030043,42.07678044,10060.93083,109.8425544,472546.5321,-19875.63667,2833.279965,472546.5321,-19875.63667,2833.279965,-0.760405049,0.016231151,-0.649246264,50.98425543,472546.5321,-19865.6398,2833.529887,472546.5321,-19865.6398,2833.529887,12.74606386,52.61958951,4321.70034,149053363.9,72,2499.685461,C3-JD-26
4492,LJP,5b9afa21-0000-1915-3135-333638393333,921673.5424,472719.9994,-20026.56998,2868.737332,112364.2088,46083.67712,472719.9994,-20016.5731,2868.987254,472720,-20015.77609,2837.106849,2.89E-15,0.999687647,0.024992183,1009.842731,472720,-20018.02568,2927.090517,472546.5321,-20015.59294,2829.781058,42.07678044,10060.93083,109.8425544,472546.5321,-20025.58982,2829.531136,472546.5321,-20025.58982,2829.531136,-0.760405049,0.016231151,-0.649246264,50.98425544,472546.5321,-20015.59294,2829.781058,472546.5321,-20015.59294,2829.781058,12.74606386,52.61958955,4321.70034,149053363.9,72,2499.685461,C3-JD-26
4493,LJP,5b9afa21-0000-1918-3135-333638393333,921673.5423,472719.9994,-20176.52312,2864.988503,112364.2088,46083.67712,472719.9994,-20186.52,2864.738581,472720,-20185.72299,2832.858177,-3.21E-15,-0.999687647,-0.024992183,1009.842731,472720,-20187.97258,2922.841844,472546.5321,-20185.53984,2825.532385,42.07678044,10060.93083,109.8425544,472546.5321,-20175.54297,2825.782307,472546.5321,-20175.54297,2825.782307,-0.760405049,0.016231151,-0.649246264,50.98425544,472546.5321,-20185.53984,2825.532385,472546.5321,-20185.53984,2825.532385,12.74606386,52.61958951,4321.70034,149053363.9,72,2499.685461,C3-JD-26
