class,guid,solidMass,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,maxFaceCentreOfMassX,maxFaceCentreOfMassY,maxFaceCentreOfMassZ,maxFaceAxisLocationX,maxFaceAxisLocationY,maxFaceAxisLocationZ,maxFaceAxisDirectX,maxFaceAxisDirectY,maxFaceAxisDirectZ,maxFacePerimeter,maxFaceMaxEdgeCentreX,maxFaceMaxEdgeCentreY,maxFaceMaxEdgeCentreZ,maxFaceMinEdgeCentreX,maxFaceMinEdgeCentreY,maxFaceMinEdgeCentreZ,maxFaceEdgeLengthAverage,maxFaceEdgeLengthVariance,minFaceMass,minFaceCentreOfMassX,minFaceCentreOfMassY,minFaceCentreOfMassZ,minFaceAxisLocationX,minFaceAxisLocationY,minFaceAxisLocationZ,minFaceAxisDirectX,minFaceAxisDirectY,minFaceAxisDirectZ,minFacePerimeter,minFaceMaxEdgeCentreX,minFaceMaxEdgeCentreY,minFaceMaxEdgeCentreZ,minFaceMinEdgeCentreX,minFaceMinEdgeCentreY,minFaceMinEdgeCentreZ,minFaceEdgeLengthAverage,minFaceEdgeLengthVariance,faceMassAverage,faceMassVariance,edgeCount,edgeLenSum,segment_no
IB,5b8c7ab1-0002-c10e-3135-333539343037,11624640.02,624500,7088.06616,2595.591219,2052914.222,968720.0013,624506,7088.06616,2595.591219,624506,7091.804223,2740.910222,1,1.87E-14,1.34E-12,9622.851608,624506,7081.941385,2349.45505,624506,8277.33847,2879.806593,34.36732717,24047.08693,65.90562907,624500,8277.33847,2879.806593,624500,8277.33847,2879.806593,0,0.543644813,0.839315386,34.98427151,624494,8277.33847,2879.806593,624494,8277.33847,2879.806593,8.746067878,10.58807426,7279.837666,6606060995,840,22605.70322,scw-C3-JD-27
IR,5b8c7ab1-0002-c133-3135-333539343037,47968000,621500,-3747.40561,3097.785555,6482080,2998000,621500,-3755.403111,3097.585617,621500,-3755.403111,3097.585617,6.06E-17,-0.999687646,-0.024992193,30380,621500,-3752.903892,2997.616852,628995,-3755.403111,3097.585617,7595,54686025,3200,628995,-3747.40561,3097.785555,628995,-3747.40561,3097.785555,1,0,0,432,628995,-3749.904829,3197.754319,628995,-3749.904829,3197.754319,108,8464,1080346.667,1.85E+12,12,60824,scw-C3-JD-27
IR,5b8c7ab1-0002-c136-3135-333539343037,47968000,621500,-3252.594356,3097.785555,6482080,2998000,621500,-3244.596855,3097.585617,621500,-3244.596855,3097.585617,-4.54E-17,0.999687646,-0.024992193,30380,621500,-3242.097636,3197.554382,628995,-3244.596855,3097.585617,7595,54686025,3200,628995,-3252.594356,3097.785555,628995,-3252.594356,3097.785555,1,0,0,432,628995,-3250.095137,3197.754319,628995,-3250.095137,3197.754319,108,8464,1080346.667,1.85E+12,12,60824,scw-C3-JD-27
IR,5b8c7ab1-0002-c139-3135-333539343037,47008640,621500,12042.37158,2713.420234,6362032,2938040,621500,12050.36924,2713.226689,621500,12050.36924,2713.226689,0,0.999707303,-0.024193139,30372,621500,12052.74017,2811.198005,628995,12050.36924,2713.226689,7593,54715609,3136,614005,12042.37158,2713.420234,614005,12042.37158,2713.420234,-1,0,0,424,614005,12040.00065,2615.448918,614005,12040.00065,2615.448918,106,8100,1060338.667,1.77E+12,12,60808,scw-C3-JD-27
IR,5b8c7ab1-0002-c13c-3135-333539343037,47008640,621500,-19042.37155,2713.420234,6362032,2938040,621500,-19034.37389,2713.613779,621500,-19034.37389,2713.613779,0,0.999707303,0.024193139,30372,621500,-19036.74482,2811.585095,628995,-19034.37389,2713.613779,7593,54715609,3136,614005,-19042.37155,2713.420234,614005,-19042.37155,2713.420234,-1,0,0,424,614005,-19040.00062,2615.448918,614005,-19040.00062,2615.448918,106,8100,1060338.667,1.77E+12,12,60808,scw-C3-JD-27
UR,5b8c7ab1-0002-c13f-3135-333539343037,66399980.41,621500,-10700,167.311979,22316485.42,3484177.099,621500,-10866.22326,117.0981426,621500,-10866.22326,117.0981426,0,-0.960822296,0.277165142,29480.57605,621500,-10899.523,1.661071865,628749.9999,-10866.22326,117.0981426,7370.144012,50834845.66,4579.309008,628749.9999,-10700,167.311979,628749.9999,-10700,206.0406985,1,-1.86E-22,0,1538.436337,628749.9999,-10503.35947,0.82957644,628749.9999,-10503.35947,0.82957644,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c142-3135-333539343037,66399980.41,621500,-11500,167.311979,22316485.42,3484177.099,621500,-11666.22326,117.0981426,621500,-11666.22326,117.0981426,0,-0.960822296,0.277165142,29480.57605,621500,-11699.523,1.661071865,628749.9999,-11666.22326,117.0981426,7370.144012,50834845.66,4579.309008,628749.9999,-11500,167.311979,628749.9999,-11500,206.0406985,1,-1.86E-22,0,1538.436337,628749.9999,-11303.35947,0.82957644,628749.9999,-11303.35947,0.82957644,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c145-3135-333539343037,66399980.42,621500,3700,167.311979,22316485.42,3484177.099,621500,3866.22326,117.0981426,621500,3866.22326,117.0981426,0,0.960822296,0.277165142,29480.57605,621500,3832.923521,232.5352134,628749.9999,3866.22326,117.0981426,7370.144012,50834845.66,4579.309011,628749.9999,3700,167.311979,628749.9999,3700,206.0406985,1,-1.86E-22,0,1538.436337,628749.9999,3503.359467,0.82957644,628749.9999,3503.359467,0.82957644,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c148-3135-333539343037,66399980.42,621500,4500,167.311979,22316485.42,3484177.099,621500,4666.22326,117.0981426,621500,4666.22326,117.0981426,0,0.960822296,0.277165142,29480.57605,621500,4632.923521,232.5352134,628749.9999,4666.22326,117.0981426,7370.144012,50834845.66,4579.309011,628749.9999,4500,167.311979,628749.9999,4500,206.0406985,1,-1.86E-22,0,1538.436337,628749.9999,4303.359467,0.82957644,628749.9999,4303.359467,0.82957644,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c14b-3135-333539343037,66399980.42,621500,-3500,167.311979,22316485.42,3484177.099,621500,-3666.223261,117.0981426,621500,-3666.223261,117.0981426,0,-0.960822296,0.277165142,29480.57605,621500,-3699.523,1.661071821,628749.9999,-3666.223261,117.0981426,7370.144012,50834845.66,4579.309011,614250,-3500,167.311979,614250,-3500,206.0406984,-1,-3.12E-13,0,1538.436337,614250,-3696.640533,0.829576396,614250,-3696.640533,0.829576396,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
