class,guid,solidMass,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,maxFaceCentreOfMassX,maxFaceCentreOfMassY,maxFaceCentreOfMassZ,maxFaceAxisLocationX,maxFaceAxisLocationY,maxFaceAxisLocationZ,maxFaceAxisDirectX,maxFaceAxisDirectY,maxFaceAxisDirectZ,maxFacePerimeter,maxFaceMaxEdgeCentreX,maxFaceMaxEdgeCentreY,maxFaceMaxEdgeCentreZ,maxFaceMinEdgeCentreX,maxFaceMinEdgeCentreY,maxFaceMinEdgeCentreZ,maxFaceEdgeLengthAverage,maxFaceEdgeLengthVariance,minFaceMass,minFaceCentreOfMassX,minFaceCentreOfMassY,minFaceCentreOfMassZ,minFaceAxisLocationX,minFaceAxisLocationY,minFaceAxisLocationZ,minFaceAxisDirectX,minFaceAxisDirectY,minFaceAxisDirectZ,minFacePerimeter,minFaceMaxEdgeCentreX,minFaceMaxEdgeCentreY,minFaceMaxEdgeCentreZ,minFaceMinEdgeCentreX,minFaceMinEdgeCentreY,minFaceMinEdgeCentreZ,minFaceEdgeLengthAverage,minFaceEdgeLengthVariance,faceMassAverage,faceMassVariance,edgeCount,edgeLenSum,segment_no
CN,6216f418-0002-ad4a-3136-343536373830,576045.3047,1005600,-16999.40961,2306.056094,127927.3662,57604.53047,1005600,-17004.40936,2306.006096,1005600,-17004.74837,2339.907243,3.73E-15,-0.999950004,-0.009999523,1271.83053,1005600,-17003.82441,2247.511329,1005621.424,-17004.74911,2339.981124,52.99293873,12449.6185,57.80553811,1005578.576,-16999.74936,2340.031122,1005578.576,-16999.74936,2340.031122,0.614212713,-0.007891029,0.789101055,31.56110763,1005578.576,-17004.74911,2339.981124,1005578.576,-17004.74911,2339.981124,7.890276907,4.450931529,4920.283317,232451687,72,2783.661059,lm-61
CN,6216f418-0002-ad4e-3136-343536373830,576045.3048,1005600,-17499.38461,2301.056332,127927.3662,57604.53047,1005600,-17504.38436,2301.006335,1005600,-17504.72337,2334.907482,3.73E-15,-0.999950004,-0.009999523,1271.83053,1005600,-17503.79941,2242.511568,1005621.424,-17504.72411,2334.981362,52.99293873,12449.6185,57.80553809,1005621.424,-17499.72436,2335.03136,1005621.424,-17499.72436,2335.03136,-0.614212713,-0.007891029,0.789101055,31.56110762,1005621.424,-17494.72461,2335.081358,1005621.424,-17494.72461,2335.081358,7.890276906,4.450931534,4920.283316,232451687,72,2783.661059,lm-61
CN,6216f418-0002-ad52-3136-343536373830,576045.3045,1005600,-17999.35961,2296.056571,127927.3662,57604.53047,1005600,-18004.35936,2296.006573,1005600,-18004.69837,2329.90772,3.73E-15,-0.999950004,-0.009999523,1271.83053,1005600,-18003.77441,2237.511806,1005621.424,-18004.69911,2329.981601,52.99293873,12449.6185,57.80553811,1005578.576,-17999.69936,2330.031599,1005578.576,-17999.69936,2330.031599,0.614212713,-0.007891029,0.789101055,31.56110763,1005578.576,-18004.69911,2329.981601,1005578.576,-18004.69911,2329.981601,7.890276907,4.450931528,4920.283316,232451687,72,2783.661059,lm-61
CN,6216f418-0002-ad56-3136-343536373830,576045.3047,1005600,-18499.33461,2291.056809,127927.3662,57604.53047,1005600,-18504.33436,2291.006812,1005600,-18504.67338,2324.907959,3.73E-15,-0.999950004,-0.009999523,1271.83053,1005600,-18503.74941,2232.512045,1005621.424,-18504.67411,2324.981839,52.99293873,12449.6185,57.80553811,1005578.576,-18499.67436,2325.031837,1005578.576,-18499.67436,2325.031837,0.614212713,-0.007891029,0.789101055,31.56110763,1005578.576,-18504.67411,2324.98184,1005578.576,-18504.67411,2324.98184,7.890276907,4.450931528,4920.283317,232451687,72,2783.661059,lm-61
OB,6216f418-0002-ad5e-3136-343536373830,106485837.9,1007725.38,16480,2243.989932,10868402.58,5324291.893,1007725.38,16470,2243.989932,1006224.317,16470,2674.534245,0,-1,6.26E-19,10990.93969,1007725,16470,1617.600003,1005634.793,16470,2867.979378,785.0671209,2161007.232,105.0927793,1005634.793,16480,2867.979378,1005634.793,16480,2867.979378,-0.997452115,0,0.071339183,50.50927793,1005634.793,16490,2867.979378,1005634.793,16490,2867.979378,12.62731948,54.35641801,679275.1612,3.08E+12,42,22261.87938,lm-61
OB,6216f418-0002-ad66-3136-343536373830,403692958.7,1012000.002,-14953.24278,1235.23653,81057382.99,40369320.73,1012000.006,-14951.8581,1240.040972,1012254.632,-16206.27514,1601.635541,7.72E-19,0.276979261,0.960875897,31877.88943,1012000,-13436.62763,803.2650917,1018365.051,-16465.94468,1676.487117,1275.115577,12188093.15,26.7770081,1018365.051,-16467.32957,1671.682737,1018365.051,-16467.32957,1671.682737,0.999272297,-0.036650544,0.010564778,25.35540161,1018365.051,-16465.94468,1676.487117,1018365.051,-16465.94468,1676.487117,6.338850404,13.40401636,2795082.172,1.05E+14,77,67136.16968,lm-61
OB,6216f418-0002-ad72-3136-343536373830,106485837.9,1007725.38,-16480,2243.989932,10868402.58,5324291.893,1007725.38,-16490,2243.989932,1006224.317,-16490,2674.534245,0,-1,6.26E-19,10990.93969,1007725,-16490,1617.600003,1005634.793,-16490,2867.979378,785.0671209,2161007.232,105.0927793,1005634.793,-16480,2867.979378,1005634.793,-16480,2867.979378,-0.997452115,0,0.071339183,50.50927793,1005634.793,-16470,2867.979378,1005634.793,-16470,2867.979378,12.62731948,54.35641801,679275.1612,3.08E+12,42,22261.87938,lm-61
OB,6216f418-0002-ad7a-3136-343536373830,416125728.6,1012000,9225.273906,-3.274485313,83548904.29,38768751.49,1012000,9114.404355,-3.67E-05,1012000,9114.404355,-3.67E-05,0,-1.21E-10,1,31657.61742,1012000,7600,-3.69E-05,1005600,9114.404355,-3.67E-05,7914.404355,23869044.81,32509.82254,1005600,9225.273906,-3.274485314,1005600,10078.92096,7.637997712,-1,-1.49E-15,0,6522.178488,1005600,10843.55796,50.59998588,1005600,10843.55796,50.59998588,652.2178488,1415952.013,6962408.691,2.03E+14,30,141044.357,lm-61
TB,6216f418-0002-ad7e-3136-343536373830,824627200,1012000,-10890.4454,2991.195052,92213641.8,45824000,1012000,-10890.18218,3000.200046,1012000,-10890.18218,3000.200046,0,-0.019996001,0.99980006,32760,1012000,-9100.540075,3035.992888,1005600,-10890.18218,3000.200046,8190,21252100,64424,1018400,-10890.4454,2991.195052,1018400,-10535.24516,2996.896706,1,8.79E-16,-4.39E-14,7194.124515,1018400,-9100.380107,3027.994487,1018400,-9100.380107,3027.994487,1438.824903,3033650.098,13173377.4,4.24E+14,15,78388.24903,lm-61
TB,6216f418-0002-ad86-3136-343536373830,397721600,1012000,-971.0058182,3190.581884,50186944,24857600,1012000,-970.8458502,3182.583483,1012000,-970.8458502,3182.583483,0,0.019996001,-0.99980006,29484,1012000,-1941.651708,3163.167366,1018400,-970.8458502,3182.583483,7371,29474041,31072,1018400,-971.0058182,3190.581884,1018400,-971.0058182,3190.581884,1,0,0,3916,1018400,-0.199959959,3209.998001,1018400,-0.199959959,3209.998001,979,927369,8364490.667,1.36E+14,12,59032,lm-61
