class,guid,centreOfMassX,centreOfMassY,centreOfMassZ,maxFaceMass,faceMassAverage,faceMassVariance,edgeCount,segment_no
IB,6216f418-0002-af06-3136-343536373830,1014400,10232.12814,1436.613277,20342363.54,38492.70817,7.73E+11,3198,lm-61
IB,6216f418-0002-af2a-3136-343536373830,1017600,10232.12814,1436.613277,20342363.54,38492.70817,7.73E+11,3198,lm-61
CN,6216f418-0002-af4e-3136-343536373830,1005600,-16804,2454.556078,74400,26522.66667,1147396494,12,lm-61
CN,6216f418-0002-af52-3136-343536373830,1005600,16803.99641,2454.556078,74400,26522.66667,1147396494,12,lm-61
AT,6216f418-0002-af56-3136-343536373830,1011200,16685.35981,2465.667428,303931.7062,117145.2774,17491721371,12,lm-61
AT,6216f418-0002-af59-3136-343536373830,1011440,16934,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af5c-3136-343536373830,1010510,16934,3179.180004,52752.42309,3774.674094,149926243.6,96,lm-61
AT,6216f418-0002-af5f-3136-343536373830,1010960,16934,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af62-3136-343536373830,1011440,16866,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af65-3136-343536373830,1010510,16866,3179.180004,52752.42309,3774.674094,149926243.5,96,lm-61
AT,6216f418-0002-af68-3136-343536373830,1010960,16866,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af6b-3136-343536373830,1010306,16685.35981,2465.667428,303931.7062,117145.2774,17491721371,12,lm-61
AT,6216f418-0002-af6e-3136-343536373830,1012094,16685.35981,2465.667428,303931.7062,117145.2774,17491721371,12,lm-61
AT,6216f418-0002-af71-3136-343536373830,1012224.878,16610.87835,2206.180003,52591.8389,7999.20286,276678606.9,45,lm-61
AT,6216f418-0002-af74-3136-343536373830,1012224.878,16610.87835,2706.180003,52591.8389,7999.20286,276678606.9,45,lm-61
AT,6216f418-0002-af77-3136-343536373830,1010175.122,16610.87835,2206.180003,52591.8389,7999.20286,276678606.9,45,lm-61
AT,6216f418-0002-af7a-3136-343536373830,1010175.122,16610.87835,2706.180003,52591.8389,7999.20286,276678606.9,45,lm-61
AT,6216f418-0002-af7d-3136-343536373830,1011200,16994.21469,2932.620944,97928.55719,18934.41412,1260952442,30,lm-61
AT,6216f418-0002-af80-3136-343536373830,1010720,16994.21469,2932.620943,97928.55719,18934.41412,1260952442,30,lm-61
AT,6216f418-0002-af83-3136-343536373830,1011680,16994.21469,2932.620944,97928.5572,18934.41412,1260952442,30,lm-61
AT,6216f418-0002-af86-3136-343536373830,1011200,-16685.35981,2465.667428,303931.7062,117145.2774,17491721371,12,lm-61
AT,6216f418-0002-af89-3136-343536373830,1011440,-16934,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af8c-3136-343536373830,1010510,-16934,3179.180004,52752.42309,3774.674094,149926243.6,96,lm-61
AT,6216f418-0002-af8f-3136-343536373830,1010960,-16934,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af92-3136-343536373830,1011440,-16866,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af95-3136-343536373830,1010510,-16866,3179.180004,52752.42309,3774.674094,149926243.5,96,lm-61
AT,6216f418-0002-af98-3136-343536373830,1010960,-16866,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af9b-3136-343536373830,1010306,-16685.35981,2465.667428,303931.7062,117145.2774,17491721371,12,lm-61
AT,6216f418-0002-af9e-3136-343536373830,1012094,-16685.35981,2465.667428,303931.7062,117145.2774,17491721371,12,lm-61
AT,6216f418-0002-afa1-3136-343536373830,1012224.878,-16610.87835,2206.180003,52591.8389,7999.20286,276678606.9,45,lm-61
AT,6216f418-0002-afa4-3136-343536373830,1012224.878,-16610.87835,2706.180003,52591.8389,7999.20286,276678606.9,45,lm-61
AT,6216f418-0002-afa7-3136-343536373830,1010175.122,-16610.87835,2206.180003,52591.8389,7999.20286,276678606.9,45,lm-61
AT,6216f418-0002-afaa-3136-343536373830,1010175.122,-16610.87835,2706.180003,52591.8389,7999.20286,276678606.9,45,lm-61
AT,6216f418-0002-afad-3136-343536373830,1011200,-16994.21469,2932.620944,97928.55719,18934.41412,1260952442,30,lm-61
AT,6216f418-0002-afb0-3136-343536373830,1010720,-16994.21469,2932.620943,97928.55719,18934.41412,1260952442,30,lm-61
AT,6216f418-0002-afb3-3136-343536373830,1011680,-16994.21469,2932.620944,97928.5572,18934.41412,1260952442,30,lm-61
UR,6216f418-0002-afbc-3136-343536373830,1012000,2000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afbf-3136-343536373830,1012000,3000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afc2-3136-343536373830,1012000,4000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afc5-3136-343536373830,1012000,5000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afc8-3136-343536373830,1012000,6000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afcb-3136-343536373830,1012000,7000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afce-3136-343536373830,1012000,8000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afd1-3136-343536373830,1012000,9000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afd4-3136-343536373830,1012000,10000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afd7-3136-343536373830,1012000,-2000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afda-3136-343536373830,1012000,-3000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afdd-3136-343536373830,1012000,-4000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afe0-3136-343536373830,1012000,-5000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afe3-3136-343536373830,1012000,-6000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afe6-3136-343536373830,1012000,-7000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afe9-3136-343536373830,1012000,-8000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afec-3136-343536373830,1012000,-9000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-afef-3136-343536373830,1012000,-10000,164.9599279,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-aff2-3136-343536373830,1012000,-11228.87886,338.5425941,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-aff5-3136-343536373830,1012000,-12093.66716,587.8239218,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-aff8-3136-343536373830,1012000,-12958.45547,837.1052495,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-affb-3136-343536373830,1012000,-13823.24378,1086.386577,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-affe-3136-343536373830,1012000,-14688.03209,1335.667905,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-b001-3136-343536373830,1012000,-15552.8204,1584.949233,3173629.548,759160.1391,1.36E+12,72,lm-61
IR,6216f418-0002-b004-3136-343536373830,1012000,-16168.02642,1653.053112,1476000,533400,4.47E+11,12,lm-61
UR,6216f418-0002-b007-3136-343536373830,1012000,11228.87886,338.5425941,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-b00a-3136-343536373830,1012000,12093.66716,587.8239218,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-b00d-3136-343536373830,1012000,12958.45547,837.1052495,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-b010-3136-343536373830,1012000,13823.24378,1086.386577,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-b013-3136-343536373830,1012000,14688.03209,1335.667905,3173629.548,759160.1391,1.36E+12,72,lm-61
UR,6216f418-0002-b016-3136-343536373830,1012000,15552.8204,1584.949233,3173629.548,759160.1391,1.36E+12,72,lm-61
IR,6216f418-0002-b019-3136-343536373830,1012000,16168.02642,1653.053112,1476000,533400,4.47E+11,12,lm-61
IR,6216f418-0002-b01c-3136-343536373830,1012000,-600.2387189,3105.917066,2146803.678,181068.4938,3.25E+11,72,lm-61
UR,6216f418-0002-b01f-3136-343536373830,1012000,-998.2986096,3004.92265,3387453.035,153799.3466,3.22E+11,344,lm-61
IB,6216f418-0002-b022-3136-343536373830,1011200,-926.7358958,2904.288497,772205.0945,7903.488572,5675594246,618,lm-61
RF,6216f418-0002-b035-3136-343536373830,1011059.657,10596.20052,380.8727047,222291.8425,27605.27865,5063479270,45,lm-61
RF,6216f418-0002-b038-3136-343536373830,1011340.343,10596.20052,380.872706,222291.8434,27605.27875,5063479312,45,lm-61
IB,6216f418-0002-b03b-3136-343536373830,1011200,-16063.35764,2193.715571,940031.7717,9237.491588,7776404090,633,lm-61
OB,6216f418-0002-b056-3136-343536373830,1011200,16484.88362,2244.100003,3383100,872285.0224,1.94E+12,18,lm-61
OB,6216f418-0002-b061-3136-343536373830,1015474.621,16480,2244.020202,7329106.112,786421.9168,5.04E+12,47,lm-61
IR,6216f418-0002-b068-3136-343536373830,1007750,16370,2247.656084,760000,280000,1.16E+11,12,lm-61
IR,6216f418-0002-b06b-3136-343536373830,1015450,16370,2247.656084,1080000,397333.3333,2.35E+11,12,lm-61
OB,6216f418-0002-b06e-3136-343536373830,1011200,-16484.88362,2244.100003,3383100,872285.0224,1.94E+12,18,lm-61
OB,6216f418-0002-b079-3136-343536373830,1015474.621,-16480,2244.020202,7329106.112,786421.9168,5.04E+12,47,lm-61
IR,6216f418-0002-b080-3136-343536373830,1007750,-16370,2247.656084,760000,280000,1.16E+11,12,lm-61
IR,6216f418-0002-b083-3136-343536373830,1011199.999,-16351.14608,2247.656087,729548.8,101810.0225,56779266547,34,lm-61
IR,6216f418-0002-b09e-3136-343536373830,1015450,-16370,2247.656084,1080000,397333.3333,2.35E+11,12,lm-61
RF,6216f418-0002-b0a1-3136-343536373830,1016000,-16295.09048,2275.625064,404491.1724,9674.807782,3627745192,258,lm-61
RF,6216f418-0002-b0a8-3136-343536373830,1017600,1434.859973,1360.000021,30000.0001,6468.902238,63711921.8,114,lm-61
RF,6216f418-0002-b0ab-3136-343536373830,1017600,965.1461286,1360.000026,30000.00005,6468.90209,63711931.87,114,lm-61
RF,6216f418-0002-b0ae-3136-343536373830,1017600,1434.859973,1960.000021,30000.0001,6468.902238,63711921.8,114,lm-61
RF,6216f418-0002-b0b1-3136-343536373830,1017600,965.1461286,1960.000026,30000.00005,6468.90209,63711931.87,114,lm-61
RF,6216f418-0002-b0b4-3136-343536373830,1017600,-1434.859965,1360.000022,30000.0001,6468.902226,63711940.25,114,lm-61
RF,6216f418-0002-b0b7-3136-343536373830,1017600,-965.1461178,1360.000016,30000.00062,6468.902402,63711930.78,114,lm-61
RF,6216f418-0002-b0ba-3136-343536373830,1017600,-1434.859965,1960.000022,30000.0001,6468.902226,63711940.25,114,lm-61
RF,6216f418-0002-b0bd-3136-343536373830,1017600,-965.1461178,1960.000016,30000.00062,6468.902402,63711930.78,114,lm-61
RF,6216f418-0002-b0c0-3136-343536373830,1017534.674,-600.0000017,1563.899871,265419.6251,22211.29495,4962757571,72,lm-61
RF,6216f418-0002-b0c3-3136-343536373830,1017534.67,-1800.000002,1551.899627,262539.5665,21971.29007,4855590726,72,lm-61
RF,6216f418-0002-b0c6-3136-343536373830,1017534.667,-3000.000002,1539.899382,259659.5079,21731.28518,4749593648,72,lm-61
RF,6216f418-0002-b0c9-3136-343536373830,1017534.663,-4200.000002,1527.899138,256779.4491,21491.28028,4644766340,72,lm-61
RF,6216f418-0002-b0cc-3136-343536373830,1011200,1434.859973,1360.000021,30000.0001,6468.902238,63711921.8,114,lm-61
RF,6216f418-0002-b0cf-3136-343536373830,1011200,965.1461286,1360.000026,30000.00005,6468.90209,63711931.87,114,lm-61
RF,6216f418-0002-b0d2-3136-343536373830,1011200,1434.859973,1960.000021,30000.0001,6468.902238,63711921.8,114,lm-61
RF,6216f418-0002-b0d5-3136-343536373830,1011200,965.1461286,1960.000026,30000.00005,6468.90209,63711931.87,114,lm-61
RF,6216f418-0002-b0d8-3136-343536373830,1011200,7634.853886,1960.000013,30000.00062,6468.902496,63711883.86,114,lm-61
RF,6216f418-0002-b0db-3136-343536373830,1011200,7165.14002,1960.000013,29999.99703,6468.902479,63711870.37,114,lm-61
RF,6216f418-0002-b0de-3136-343536373830,1011200,9884.853883,1960.000017,30000.0001,6468.902376,63711892.64,114,lm-61
RF,6216f418-0002-b0e1-3136-343536373830,1011200,9415.140024,1960.000017,30000.0001,6468.902378,63711891.63,114,lm-61
RF,6216f418-0002-b0e4-3136-343536373830,1011200,-1434.859965,1360.000022,30000.0001,6468.902226,63711940.25,114,lm-61
RF,6216f418-0002-b0e7-3136-343536373830,1011200,-965.1461234,1360.000021,30000.0001,6468.902238,63711921.8,114,lm-61
RF,6216f418-0002-b0ea-3136-343536373830,1011200,-1434.859965,1960.000022,30000.0001,6468.902226,63711940.25,114,lm-61
RF,6216f418-0002-b0ed-3136-343536373830,1011200,-965.1461234,1960.000021,30000.0001,6468.902238,63711921.8,114,lm-61
RF,6216f418-0002-b0f0-3136-343536373830,1011200,-7634.853883,1960.000015,30000.00005,6468.902394,63711883.96,114,lm-61
RF,6216f418-0002-b0f3-3136-343536373830,1011200,-7165.140019,1960.000013,30000.00062,6468.902496,63711883.87,114,lm-61
RF,6216f418-0002-b0f6-3136-343536373830,1011200,-9884.853873,1960.000026,30000.0001,6468.902092,63711961.09,114,lm-61
RF,6216f418-0002-b0f9-3136-343536373830,1011200,-9415.14003,1960.000022,30000.00062,6468.902214,63711960.9,114,lm-61
RF,6216f418-0002-b0fc-3136-343536373830,1011200,6100.000036,1986.143054,47999.96506,10376.37345,111317697.1,174,lm-61
RF,6216f418-0002-b0ff-3136-343536373830,1011200,6100.000001,847.382619,84000,14990.98885,659008245.2,132,lm-61
RF,6216f418-0002-b102-3136-343536373830,1011200,-6099.999965,1986.142999,48000.03632,10376.37236,111318088.2,174,lm-61
RF,6216f418-0002-b105-3136-343536373830,1011200,-6100.000001,847.382619,84000,14990.98885,659008245.2,132,lm-61
RF,6216f418-0002-b108-3136-343536373830,1011123.93,7887.285822,445.0000006,752435.9112,100946.7975,60939557182,42,lm-61
RF,6216f418-0002-b10b-3136-343536373830,1011123.926,13059.6323,1157.712703,716961.8389,96195.80572,55327314016,42,lm-61
RF,6216f418-0002-b10e-3136-343536373830,1011019.321,10603.99197,575.9548102,53160,20873.33345,532585685.9,12,lm-61
RF,6216f418-0002-b111-3136-343536373830,1010971.5,10648.5795,10.05671705,20605.42419,10605.67457,56001367.53,30,lm-61
RF,6216f418-0002-b114-3136-343536373830,1011380.679,10603.99197,575.9548102,53160,20873.33345,532585685.9,12,lm-61
RF,6216f418-0002-b117-3136-343536373830,1011428.5,10648.5795,10.05671712,20605.42419,10605.67457,56001367.54,30,lm-61
RF,6216f418-0002-b11a-3136-343536373830,1011142.5,-10243.95078,2490.019997,1927530.173,679400.0609,7.81E+11,12,lm-61
RF,6216f418-0002-b11d-3136-343536373830,1011133.674,-600.0000017,1563.899016,265419.42,22211.27786,4962749899,72,lm-61
RF,6216f418-0002-b120-3136-343536373830,1011133.67,-1800.000002,1551.899016,262539.4198,21971.27784,4855585297,72,lm-61
RF,6216f418-0002-b123-3136-343536373830,1011133.667,-3000.000002,1539.899016,259659.4198,21731.27784,4749590427,72,lm-61
RF,6216f418-0002-b126-3136-343536373830,1011133.663,-4200.000002,1527.899138,256779.4491,21491.28028,4644766340,72,lm-61
RF,6216f418-0002-b129-3136-343536373830,1011133.659,-5400.000002,1515.899138,253899.4491,21251.28028,4541110904,72,lm-61
RF,6216f418-0002-b12c-3136-343536373830,1011133.654,-6800.000002,1501.899138,250539.4491,20971.28029,4421657962,72,lm-61
RF,6216f418-0002-b12f-3136-343536373830,1011133.65,-8000.000002,1489.899138,247659.4493,20731.2803,4320536933,72,lm-61
RF,6216f418-0002-b132-3136-343536373830,1011133.647,-9100.000002,1478.899138,245019.4493,20511.2803,4228870220,72,lm-61
RF,6216f418-0002-b135-3136-343536373830,1011133.643,-10200,1467.899077,242379.4344,20291.27906,4138185890,72,lm-61
RF,6216f418-0002-b138-3136-343536373830,1011133.59,-11400,1573.877494,211184.6347,17691.71242,3141070845,72,lm-61
RF,6216f418-0002-b13b-3136-343536373830,1011133.481,-12600,1734.83167,166795.6064,13992.62673,1958790638,72,lm-61
RF,6216f418-0002-b13e-3136-343536373830,1011133.293,-13800,1895.785908,122406.5927,10293.54226,1054385609,72,lm-61
RF,6216f418-0002-b141-3136-343536373830,1011132.89,-15000,2056.740176,78017.58643,6594.458397,427855401.9,72,lm-61
RF,6216f418-0002-b144-3136-343536373830,1011123.926,-13059.63231,1157.712683,716961.8389,96195.80572,55327314016,42,lm-61
AT,6216f418-0002-b147-3136-343536373830,1012000,19265,1987.383769,9150084.101,687784.0059,5.73E+12,75,lm-61
RF,6216f418-0002-b152-3136-343536373830,1017600,17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b155-3136-343536373830,1016000,17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b158-3136-343536373830,1014400,17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b15b-3136-343536373830,1012800,17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b15e-3136-343536373830,1011200,18240.31596,2220.345935,545283.9532,34726.23365,16842612125,93,lm-61
RF,6216f418-0002-b161-3136-343536373830,1009600,17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b164-3136-343536373830,1008000,17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b167-3136-343536373830,1006400,17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
IB,6216f418-0002-b16a-3136-343536373830,1017600,-926.7365359,2904.288447,772205.2041,7903.489617,5675595846,618,lm-61
IB,6216f418-0002-b179-3136-343536373830,1017600,-7308.565235,2767.430634,1305278.685,12044.99447,14682274934,684,lm-61
IB,6216f418-0002-b17c-3136-343536373830,1017600,-3736.787283,2838.866196,1305278.431,12044.99224,14682270627,684,lm-61
