class,guid,centreOfMassX,centreOfMassY,centreOfMassZ,maxFaceMass,faceMassAverage,faceMassVariance,edgeCount,segment_no
IR,6216f418-0002-b1d9-3136-343536373830,1016800,17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1dc-3136-343536373830,1016800,16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1df-3136-343536373830,1015200,18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1e2-3136-343536373830,1015200,17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1e5-3136-343536373830,1015200,17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1e8-3136-343536373830,1015200,16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1eb-3136-343536373830,1013600,18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1ee-3136-343536373830,1013600,17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1f1-3136-343536373830,1013600,17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1f4-3136-343536373830,1013600,16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1f7-3136-343536373830,1012000,18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1fa-3136-343536373830,1012000,17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1fd-3136-343536373830,1012000,17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b200-3136-343536373830,1012000,16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b203-3136-343536373830,1010400,18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b206-3136-343536373830,1010400,17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b209-3136-343536373830,1010400,17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b20c-3136-343536373830,1010400,16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b20f-3136-343536373830,1008800,18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b212-3136-343536373830,1008800,17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b215-3136-343536373830,1008800,17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b218-3136-343536373830,1008800,16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b21b-3136-343536373830,1007200,18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b21e-3136-343536373830,1007200,17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b221-3136-343536373830,1007200,17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b224-3136-343536373830,1007200,16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b227-3136-343536373830,1017881.331,18499.29292,2291.88762,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b22a-3136-343536373830,1017881.331,17999.31792,2296.887381,64441.83891,8877.055716,443910779.6,42,lm-61
IR,6216f418-0002-b22d-3136-343536373830,1017881.331,17499.34292,2301.887143,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b230-3136-343536373830,1017881.331,16999.36792,2306.886904,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b233-3136-343536373830,1006118.669,18499.29292,2291.88762,64441.83891,8877.055716,443910779.6,42,lm-61
IR,6216f418-0002-b236-3136-343536373830,1006118.669,17999.31792,2296.887381,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b239-3136-343536373830,1006118.669,17499.34292,2301.887143,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b23c-3136-343536373830,1006118.669,16999.36792,2306.886904,64441.83891,8877.055716,443910779.6,42,lm-61
AT,6216f418-0002-b23f-3136-343536373830,1012000,-19265,1987.383768,9150084.081,687783.9977,5.73E+12,75,lm-61
RF,6216f418-0002-b246-3136-343536373830,1017600,-17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b249-3136-343536373830,1016000,-17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b24c-3136-343536373830,1014400,-17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b24f-3136-343536373830,1012800,-17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b252-3136-343536373830,1011200,-18240.31596,2220.345935,545283.9532,34726.23365,16842612125,93,lm-61
RF,6216f418-0002-b255-3136-343536373830,1009600,-17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b258-3136-343536373830,1008000,-17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
RF,6216f418-0002-b25b-3136-343536373830,1006400,-17889.28666,2212.319684,706314.6378,38936.81044,24770500172,108,lm-61
IR,6216f418-0002-b25e-3136-343536373830,1016800,-18499.29506,2292.10098,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b261-3136-343536373830,1016800,-17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b264-3136-343536373830,1016800,-17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b267-3136-343536373830,1016800,-16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b26a-3136-343536373830,1015200,-18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b26d-3136-343536373830,1015200,-17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b270-3136-343536373830,1015200,-17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b273-3136-343536373830,1015200,-16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b276-3136-343536373830,1013600,-18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b279-3136-343536373830,1013600,-17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b27c-3136-343536373830,1013600,-17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b27f-3136-343536373830,1013600,-16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b282-3136-343536373830,1012000,-18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b285-3136-343536373830,1012000,-17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b288-3136-343536373830,1012000,-17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b28b-3136-343536373830,1012000,-16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b28e-3136-343536373830,1010400,-18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b291-3136-343536373830,1010400,-17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b294-3136-343536373830,1010400,-17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b297-3136-343536373830,1010400,-16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b29a-3136-343536373830,1008800,-18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b29d-3136-343536373830,1008800,-17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b2a0-3136-343536373830,1008800,-17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b2a3-3136-343536373830,1008800,-16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b2a6-3136-343536373830,1007200,-18499.29506,2292.100981,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b2a9-3136-343536373830,1007200,-17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b2ac-3136-343536373830,1007200,-17499.34505,2302.100503,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b2af-3136-343536373830,1007200,-16999.37005,2307.100265,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b2b2-3136-343536373830,1017881.331,-18499.29292,2291.88762,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b2b5-3136-343536373830,1017881.331,-17999.31792,2296.887381,64441.83891,8877.055716,443910779.6,42,lm-61
IR,6216f418-0002-b2b8-3136-343536373830,1017881.331,-17499.34292,2301.887143,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b2bb-3136-343536373830,1017881.331,-16999.36792,2306.886904,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b2be-3136-343536373830,1006118.669,-18499.29292,2291.88762,64441.83891,8877.055716,443910779.6,42,lm-61
IR,6216f418-0002-b2c1-3136-343536373830,1006118.669,-17999.31792,2296.887381,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b2c4-3136-343536373830,1006118.669,-17499.34292,2301.887143,64441.83891,8877.055717,443910779.6,42,lm-61
IR,6216f418-0002-b2c7-3136-343536373830,1006118.669,-16999.36792,2306.886904,64441.83891,8877.055716,443910779.6,42,lm-61
AT,6216f418-0002-b2ca-3136-343536373830,1015600,16685.433,2233.853185,7865.80222,5934.810886,1740388.661,144,lm-61
OT,6216f418-0002-b2d1-3136-343536373830,1015600,16773,2354.756078,240,156,6432,12,lm-61
OT,6216f418-0002-b2d4-3136-343536373830,1015600,16619.00001,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b2d7-3136-343536373830,1015523,16696,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b2da-3136-343536373830,1015677,16696,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b2dd-3136-343536373830,1015600,16696,2374.756078,9594.701547,318.6591673,1557913.963,336,lm-61
AT,6216f418-0002-b300-3136-343536373830,1009200,16685.433,2233.853185,7865.80222,5934.810886,1740388.661,144,lm-61
OT,6216f418-0002-b307-3136-343536373830,1009200,16773,2354.756078,240,156,6432,12,lm-61
OT,6216f418-0002-b30a-3136-343536373830,1009200,16619.00001,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b30d-3136-343536373830,1009123,16696,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b310-3136-343536373830,1009277,16696,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b313-3136-343536373830,1009200,16696,2374.756078,9594.701547,318.6591673,1557913.963,336,lm-61
AT,6216f418-0002-b336-3136-343536373830,1015800,-16685.433,2233.853185,7865.80222,5934.810886,1740388.661,144,lm-61
OT,6216f418-0002-b33d-3136-343536373830,1015800,-16773,2354.756078,240,156,6432,12,lm-61
OT,6216f418-0002-b340-3136-343536373830,1015800,-16619.00001,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b343-3136-343536373830,1015723,-16696,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b346-3136-343536373830,1015877,-16696,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b349-3136-343536373830,1015800,-16696,2374.756078,9594.701548,318.6591673,1557913.963,336,lm-61
AT,6216f418-0002-b36c-3136-343536373830,1009400,-16685.433,2233.853185,7865.80222,5934.810886,1740388.661,144,lm-61
OT,6216f418-0002-b373-3136-343536373830,1009400,-16773,2354.756078,240,156,6432,12,lm-61
OT,6216f418-0002-b376-3136-343536373830,1009400,-16619.00001,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b379-3136-343536373830,1009323,-16696,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b37c-3136-343536373830,1009477,-16696,2354.756079,240,156,6432,12,lm-61
OT,6216f418-0002-b37f-3136-343536373830,1009400,-16696,2374.756078,9594.701548,318.6591673,1557913.963,336,lm-61
RF,6216f418-0002-b3a2-3136-343536373830,1012094,-16180.91136,2233.044887,677764.3569,10094.1471,6285843844,426,lm-61
RF,6216f418-0002-b3b1-3136-343536373830,1010306,-16180.91148,2233.044884,677764.3562,10094.1471,6285843844,426,lm-61
IR,6216f418-0002-b3c0-3136-343536373830,1012000,-350.2887039,3110.916066,2146803.678,181068.4938,3.25E+11,72,lm-61
IR,6216f418-0002-b3c3-3136-343536373830,1012000,-100.3386889,3115.915066,2146803.678,181068.4938,3.25E+11,72,lm-61
UR,6216f418-0002-b3c6-3136-343536373830,1012000,-1598.178646,2992.925049,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3c9-3136-343536373830,1012000,-2198.058682,2980.927449,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3cc-3136-343536373830,1012000,-2797.938718,2968.929848,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3cf-3136-343536373830,1012000,-3397.818754,2956.932247,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3d2-3136-343536373830,1012000,-3997.69879,2944.934647,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3d5-3136-343536373830,1012000,-4597.578826,2932.937046,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3d8-3136-343536373830,1012000,-5197.458862,2920.939446,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3db-3136-343536373830,1012000,-5797.338898,2908.941845,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3de-3136-343536373830,1012000,-6397.218933,2896.944244,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3e1-3136-343536373830,1012000,-6997.098969,2884.946644,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3e4-3136-343536373830,1012000,-7596.979005,2872.949043,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3e7-3136-343536373830,1012000,-8196.859041,2860.951443,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3ea-3136-343536373830,1012000,-8796.739077,2848.953842,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3ed-3136-343536373830,1012000,-9396.579121,2834.956641,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3f0-3136-343536373830,1012000,-9996.459157,2822.959041,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3f3-3136-343536373830,1012000,-10596.33919,2810.96144,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3f6-3136-343536373830,1012000,-11196.21923,2798.963839,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3f9-3136-343536373830,1012000,-11796.09927,2786.966239,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3fc-3136-343536373830,1012000,-12395.9793,2774.968638,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b3ff-3136-343536373830,1012000,-12995.85934,2762.971038,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b402-3136-343536373830,1012000,-13595.73937,2750.973437,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b405-3136-343536373830,1012000,-14195.61941,2738.975836,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b408-3136-343536373830,1012000,-14795.49945,2726.978236,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b40b-3136-343536373830,1012000,-15395.37948,2714.980635,3387453.035,153799.3466,3.22E+11,344,lm-61
IR,6216f418-0002-b40e-3136-343536373830,1012000,-15797.15963,2799.978252,2146803.678,181068.4938,3.25E+11,72,lm-61
IR,6216f418-0002-b411-3136-343536373830,1012000,-16097.09965,2793.979451,2146803.678,181068.4938,3.25E+11,72,lm-61
RF,6216f418-0002-b414-3136-343536373830,1017534.674,599.9995289,1563.899871,265419.6251,22211.29495,4962757571,72,lm-61
RF,6216f418-0002-b417-3136-343536373830,1017534.67,1799.999529,1551.899627,262539.5665,21971.29007,4855590726,72,lm-61
RF,6216f418-0002-b41a-3136-343536373830,1017534.667,2999.999529,1539.899382,259659.5079,21731.28518,4749593648,72,lm-61
RF,6216f418-0002-b41d-3136-343536373830,1017534.663,4199.999529,1527.899138,256779.4491,21491.28028,4644766340,72,lm-61
RF,6216f418-0002-b420-3136-343536373830,1017542.5,2400.019881,2646.89863,840175.0854,296645.0301,1.48E+11,12,lm-61
RF,6216f418-0002-b423-3136-343536373830,1011142.5,10243.95078,2490.019997,1927530.173,679400.0609,7.81E+11,12,lm-61
RF,6216f418-0002-b426-3136-343536373830,1011142.5,2400.019944,2646.899092,849777,299852.3333,1.52E+11,12,lm-61
IB,6216f418-0002-b429-3136-343536373830,1011200,16063.35765,2193.715546,940031.8179,9237.49158,7776404796,633,lm-61
IR,6216f418-0002-b444-3136-343536373830,1012000,600.2387189,3105.917066,2146803.678,181068.4938,3.25E+11,72,lm-61
UR,6216f418-0002-b447-3136-343536373830,1012000,998.2990215,3004.922642,3387453.035,153799.3466,3.22E+11,344,lm-61
IB,6216f418-0002-b44a-3136-343536373830,1011200,926.7365265,2904.288529,772205.07,7903.488215,5675593681,618,lm-61
IB,6216f418-0002-b45d-3136-343536373830,1017600,926.735997,2904.288508,772205.2001,7903.489443,5675595533,618,lm-61
IB,6216f418-0002-b46c-3136-343536373830,1017600,7308.564921,2767.430669,1305278.653,12044.99403,14682273806,684,lm-61
IB,6216f418-0002-b46f-3136-343536373830,1017600,3736.787057,2838.866293,1305278.305,12044.99076,14682266758,684,lm-61
IB,6216f418-0002-b472-3136-343536373830,1011200,3736.787496,2838.866415,1305278.193,12044.98961,14682263730,684,lm-61
IB,6216f418-0002-b475-3136-343536373830,1011200,7308.565296,2767.430644,1305278.471,12044.99243,14682269778,684,lm-61
IB,6216f418-0002-b478-3136-343536373830,1011200,10880.16227,2695.193198,1298224.802,11983.46487,14524056981,684,lm-61
IR,6216f418-0002-b47b-3136-343536373830,1012000,350.2887039,3110.916066,2146803.678,181068.4938,3.25E+11,72,lm-61
IR,6216f418-0002-b47e-3136-343536373830,1012000,100.3386889,3115.915066,2146803.678,181068.4938,3.25E+11,72,lm-61
UR,6216f418-0002-b481-3136-343536373830,1012000,1598.179058,2992.925041,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b484-3136-343536373830,1012000,2198.059094,2980.92744,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b487-3136-343536373830,1012000,2797.93913,2968.92984,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b48a-3136-343536373830,1012000,3397.819165,2956.932239,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b48d-3136-343536373830,1012000,3997.699201,2944.934639,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b490-3136-343536373830,1012000,4597.579237,2932.937038,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b493-3136-343536373830,1012000,5197.459273,2920.939437,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b496-3136-343536373830,1012000,5797.339309,2908.941837,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b499-3136-343536373830,1012000,6397.219345,2896.944236,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b49c-3136-343536373830,1012000,6997.099381,2884.946636,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b49f-3136-343536373830,1012000,7596.979417,2872.949035,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4a2-3136-343536373830,1012000,8196.859453,2860.951434,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4a5-3136-343536373830,1012000,8796.739489,2848.953834,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4a8-3136-343536373830,1012000,9396.579533,2834.956633,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4ab-3136-343536373830,1012000,9996.459569,2822.959032,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4ae-3136-343536373830,1012000,10596.33961,2810.961432,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4b1-3136-343536373830,1012000,11196.21964,2798.963831,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4b4-3136-343536373830,1012000,11796.09968,2786.966231,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4b7-3136-343536373830,1012000,12395.97971,2774.96863,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4ba-3136-343536373830,1012000,12995.85975,2762.971029,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4bd-3136-343536373830,1012000,13595.73979,2750.973429,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4c0-3136-343536373830,1012000,14195.61982,2738.975828,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4c3-3136-343536373830,1012000,14795.49986,2726.978228,3387453.035,153799.3466,3.22E+11,344,lm-61
UR,6216f418-0002-b4c6-3136-343536373830,1012000,15395.37989,2714.980627,3387453.035,153799.3466,3.22E+11,344,lm-61
IR,6216f418-0002-b4c9-3136-343536373830,1012000,15797.15963,2799.978252,2146803.678,181068.4938,3.25E+11,72,lm-61
IR,6216f418-0002-b4cc-3136-343536373830,1012000,16097.09965,2793.979451,2146803.678,181068.4938,3.25E+11,72,lm-61
RF,6216f418-0002-b4cf-3136-343536373830,1011133.674,600.0000017,1563.899016,265419.42,22211.27786,4962749899,72,lm-61
RF,6216f418-0002-b4d2-3136-343536373830,1011133.67,1800.000002,1551.899016,262539.4198,21971.27784,4855585297,72,lm-61
RF,6216f418-0002-b4d5-3136-343536373830,1011133.667,3000.000002,1539.899016,259659.4198,21731.27784,4749590427,72,lm-61
RF,6216f418-0002-b4d8-3136-343536373830,1011133.663,4200.000002,1527.899138,256779.4491,21491.28028,4644766340,72,lm-61
RF,6216f418-0002-b4db-3136-343536373830,1011133.659,5400.000002,1515.899138,253899.4491,21251.28028,4541110904,72,lm-61
RF,6216f418-0002-b4de-3136-343536373830,1011133.654,6800.000002,1501.899138,250539.4491,20971.28029,4421657962,72,lm-61
RF,6216f418-0002-b4e1-3136-343536373830,1011133.65,8000.000002,1489.899138,247659.4493,20731.2803,4320536933,72,lm-61
RF,6216f418-0002-b4e4-3136-343536373830,1011133.647,9100.000002,1478.899138,245019.4493,20511.2803,4228870220,72,lm-61
RF,6216f418-0002-b4e7-3136-343536373830,1011133.643,10200,1467.899077,242379.4344,20291.27906,4138185890,72,lm-61
RF,6216f418-0002-b4ea-3136-343536373830,1011133.59,11400,1573.877494,211184.6347,17691.71242,3141070845,72,lm-61
RF,6216f418-0002-b4ed-3136-343536373830,1011133.481,12600,1734.83167,166795.6064,13992.62673,1958790638,72,lm-61
RF,6216f418-0002-b4f0-3136-343536373830,1011133.293,13800,1895.785908,122406.5927,10293.54226,1054385609,72,lm-61
RF,6216f418-0002-b4f3-3136-343536373830,1011132.89,15000,2056.740176,78017.58643,6594.458397,427855401.9,72,lm-61
RF,6216f418-0002-b4f6-3136-343536373830,1012094,16180.91136,2233.044881,677764.3702,10094.14721,6285843967,426,lm-61
RF,6216f418-0002-b505-3136-343536373830,1010306,16180.91148,2233.044878,677764.3695,10094.1472,6285843967,426,lm-61
RF,6216f418-0002-b514-3136-343536373830,1012800,-16295.09048,2275.625064,404491.1724,9674.807782,3627745192,258,lm-61
RF,6216f418-0002-b51b-3136-343536373830,1012800,16295.09048,2275.625009,404491.2166,9674.808794,3627745967,258,lm-61
RF,6216f418-0002-b522-3136-343536373830,1009600,-16295.09048,2275.625064,404491.1724,9674.807782,3627745192,258,lm-61
RF,6216f418-0002-b529-3136-343536373830,1009600,16295.09048,2275.625009,404491.2166,9674.808794,3627745967,258,lm-61
RF,6216f418-0002-b530-3136-343536373830,1006400,-16295.09048,2275.625064,404491.1724,9674.807782,3627745192,258,lm-61
RF,6216f418-0002-b537-3136-343536373830,1006400,16295.09048,2275.625009,404491.2166,9674.808794,3627745967,258,lm-61
RF,6216f418-0002-b53e-3136-343536373830,1014400,1434.859973,1360.000021,30000.0001,6468.902238,63711921.8,114,lm-61
RF,6216f418-0002-b541-3136-343536373830,1014400,965.1461286,1360.000026,30000.00005,6468.90209,63711931.87,114,lm-61
RF,6216f418-0002-b544-3136-343536373830,1014400,1434.859973,1960.000021,30000.0001,6468.902238,63711921.8,114,lm-61
RF,6216f418-0002-b547-3136-343536373830,1014400,965.1461286,1960.000026,30000.00005,6468.90209,63711931.87,114,lm-61
RF,6216f418-0002-b54a-3136-343536373830,1014400,-1434.859965,1360.000022,30000.0001,6468.902226,63711940.25,114,lm-61
RF,6216f418-0002-b54d-3136-343536373830,1014400,-965.1461178,1360.000016,30000.00062,6468.902402,63711930.78,114,lm-61
RF,6216f418-0002-b550-3136-343536373830,1014400,-1434.859965,1960.000022,30000.0001,6468.902226,63711940.25,114,lm-61
RF,6216f418-0002-b553-3136-343536373830,1014400,-965.1461178,1960.000016,30000.00062,6468.902402,63711930.78,114,lm-61
RF,6216f418-0002-b556-3136-343536373830,1014334.674,-600.0000017,1563.899871,265419.6251,22211.29495,4962757571,72,lm-61
RF,6216f418-0002-b559-3136-343536373830,1014334.67,-1800.000002,1551.899627,262539.5665,21971.29007,4855590726,72,lm-61
RF,6216f418-0002-b55c-3136-343536373830,1014334.667,-3000.000002,1539.899382,259659.5079,21731.28518,4749593648,72,lm-61
RF,6216f418-0002-b55f-3136-343536373830,1014334.663,-4200.000002,1527.899138,256779.4491,21491.28028,4644766340,72,lm-61
RF,6216f418-0002-b562-3136-343536373830,1014325,2.60E-06,444.9999721,1344000,480466.6667,3.74E+11,12,lm-61
RF,6216f418-0002-b565-3136-343536373830,1014342.5,-2400.020353,2646.898631,840175.0854,296645.0301,1.48E+11,12,lm-61
RF,6216f418-0002-b568-3136-343536373830,1014334.674,599.9995289,1563.899871,265419.6251,22211.29495,4962757571,72,lm-61
RF,6216f418-0002-b56b-3136-343536373830,1014334.67,1799.999529,1551.899627,262539.5665,21971.29007,4855590726,72,lm-61
RF,6216f418-0002-b56e-3136-343536373830,1014334.667,2999.999529,1539.899382,259659.5079,21731.28518,4749593648,72,lm-61
RF,6216f418-0002-b571-3136-343536373830,1014334.663,4199.999529,1527.899138,256779.4491,21491.28028,4644766340,72,lm-61
RF,6216f418-0002-b574-3136-343536373830,1014342.5,2400.019881,2646.89863,840175.0854,296645.0301,1.48E+11,12,lm-61
RF,6216f418-0002-b577-3136-343536373830,1008000,1434.859973,1360.000021,30000.0001,6468.902238,63711921.8,114,lm-61
